"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.599907453E0,7.178338766E-1,-1.976007223E-1,-2.511286736E-1
3.609808912E0,6.177020073E-1,-2.742975056E-1,-3.382114694E-2
3.619757818E0,5.367442966E-1,-2.796236575E-1,1.206376404E-1
3.629706620E0,4.280905128E-1,-2.679060996E-1,1.877473146E-1
3.639639120E0,3.055887222E-1,-2.231663167E-1,1.952039450E-1
3.649587974E0,2.118482143E-1,-1.645784974E-1,1.483336985E-1
3.659536881E0,1.660431921E-1,-1.390129030E-1,6.737598777E-2
3.669440474E0,1.372819096E-1,-1.102516204E-1,-2.849498391E-2
3.679389328E0,7.336792350E-2,-2.396774292E-2,-1.051917598E-1
3.689338183E0,-2.250304818E-2,1.134473160E-1,-9.240896255E-2
3.699284328E0,-1.268958896E-1,2.647103965E-1,-2.742975019E-2
3.709233235E0,-2.174406946E-1,3.563204408E-1,-2.929390874E-3
3.719182089E0,-2.643109560E-1,2.434057444E-1,2.476666868E-2
3.729075787E0,-2.387453467E-1,-3.035914153E-2,6.950645149E-2
3.739024693E0,-1.556571722E-1,-2.711018026E-1,9.294158220E-2
3.748973495E0,-8.854749799E-2,-3.509942889E-1,1.089200750E-1
3.758884693E0,-5.019910634E-2,-3.041240275E-1,1.302247345E-1
3.768833547E0,-4.274247587E-2,-1.912093312E-1,1.589860320E-1
3.778782453E0,-8.428656310E-2,-6.657706201E-2,1.962691844E-1
