"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.313299493E0,1.990654171E-1,9.533835202E-2,-8.282186836E-2
3.323251316E0,1.980001926E-1,1.336867511E-1,-5.299534276E-2
3.333164441E0,1.681736708E-1,9.001219273E-2,-7.430000603E-2
3.343116264E0,1.362166703E-1,7.989247330E-3,-1.350182891E-1
3.353068087E0,1.330209672E-1,-4.953333735E-2,-2.010627389E-1
3.362979545E0,1.543256342E-1,-6.977276504E-2,-2.340849638E-1
3.372931368E0,1.756303012E-1,-6.018566713E-2,-2.042584270E-1
3.382883243E0,1.958697289E-1,6.924014539E-3,-1.339530498E-1
3.392753608E0,2.065220475E-1,1.027949899E-1,-3.701684624E-2
3.402705483E0,1.862826198E-1,1.539261788E-1,2.902759984E-2
3.412657306E0,1.308905035E-1,8.575125784E-2,1.091863867E-2
3.422603503E0,8.188978583E-2,-3.142437339E-2,-7.430000603E-2
3.432555326E0,7.336792350E-2,-9.107742459E-2,-1.616491079E-1
3.442507149E0,9.786828607E-2,-1.358172148E-1,-2.191716880E-1
3.452405222E0,1.511299312E-1,-1.081211492E-1,-2.330197245E-1
3.462356993E0,1.862826198E-1,-4.740286991E-2,-2.021279633E-1
3.472308868E0,1.894783229E-1,-3.781577200E-2,-1.637795717E-1
3.482201733E0,1.681736708E-1,-3.568530455E-2,-1.328878254E-1
3.492153556E0,1.330209672E-1,-3.994623944E-2,-1.243659556E-1
3.502105378E0,1.095858440E-1,-7.509893179E-2,-1.350182891E-1
3.512045743E0,9.680305421E-2,-9.640359133E-2,-1.531272531E-1
3.521997566E0,1.021292135E-1,-1.336867511E-1,-1.648448110E-1
3.531949389E0,1.383471340E-1,-1.315562725E-1,-1.552577168E-1
3.541851524E0,1.692388952E-1,-8.468602598E-2,-1.339530498E-1
3.551803347E0,1.809564531E-1,-4.527240247E-2,-1.147788614E-1
3.561755170E0,1.766955256E-1,2.663082443E-3,-1.233007237E-1
3.571674701E0,1.596518010E-1,2.396774292E-2,-1.573881805E-1
3.581623764E0,1.426080763E-1,-1.118494663E-2,-1.904104054E-1
3.591572774E0,1.244991124E-1,-5.698996782E-2,-2.074541301E-1
3.601460378E0,1.042596847E-1,-1.006645188E-1,-1.850842386E-1
3.611409441E0,9.147688746E-2,-1.155777797E-1,-1.275616586E-1
3.621358503E0,1.053249165E-1,-1.006645188E-1,-6.684337556E-2
3.631281941E0,1.202381775E-1,-9.107742459E-2,-3.169068322E-2
3.641230951E0,1.266295761E-1,-7.722939551E-2,-4.660394415E-2
3.651180014E0,1.383471340E-1,-3.035914153E-2,-9.773512930E-2
3.661100691E0,1.426080763E-1,-1.757634431E-2,-1.552577168E-1
3.671049701E0,1.404775977E-1,-4.846810177E-2,-1.957365721E-1
3.680998764E0,1.426080763E-1,-8.468602598E-2,-1.968017966E-1
3.690903816E0,1.585865617E-1,-1.017297506E-1,-1.637795717E-1
3.700852878E0,1.734998226E-1,-8.468602598E-2,-1.062569916E-1
3.710801941E0,1.660431921E-1,-2.609820850E-2,-4.766917601E-2
3.720747722E0,1.372819096E-1,2.077204362E-2,-7.190322969E-3
3.730696733E0,1.298252791E-1,4.207670316E-2,2.157096937E-2
3.740645847E0,1.372819096E-1,3.568530455E-2,1.411433797E-2
3.750529128E0,1.095858440E-1,-7.989247330E-3,-2.742975019E-2
3.760478191E0,8.082455397E-2,-7.616416365E-2,-7.536523789E-2
